page_number,ad_number,url,title,location,date,id,price,ad_text,phone,Талбай:,Төлбөрийн нөхцөл:,Барилгын явц:,clean_coords
1,1,https://www.unegui.mn/adv/9215856_khotyn-tovd-city-tower-t-offis-zarna/,Хотын төвд city tower-т 211.69 мк.в оффис,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Нийтэлсэн: Өнөөдөр 13:55,9215856,"7.6 сая ₮
үнэ тохирно","Хотын төвд City Tower-т 211.69 мк.в оффис зарна.Дахин хуваалт хийх, өрөөний зохион байгуулалт өөрчлөх боломжтой 3 том заал, 1 амралтын өрөө, 2 нойлын өрөөтэй.Гэрчилгээ бэлэн.Шаардлага хангасан тохиолдолд банкны зээлээр шийдэж өгөх боломжтой.Орон сууц бартердах боломжтой.",N/A,212 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.912432 106.921754
1,2,https://www.unegui.mn/adv/9406676_offis-khudaldana/,СБД 1р хороо оффис,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Нийтэлсэн: Өчигдөр 23:10,9406676,"7.5 сая ₮
үнэ тохирно","Байршил: Хотын төв Энхтайвангийн гүүрний баруун талд Зам тээврийн яам хойно байрлалтай ""GEREGE TOWE-т 261мкв талбай худалдана.",N/A,261 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.912432 106.921754
1,3,https://www.unegui.mn/adv/9172012_paradise-plaza-offis-uilchilgeenii-talbai/,Paradise plaza оффис үйлчилгээний талбай,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Нийтэлсэн: Өчигдөр 17:40,9172012,"6.3 сая ₮
7 сая ₮","БЗД 26-р хороо [#PARADISE_PLAZA]оффис үйлчилгээний зориулалттай талбай худалдана.
8 давхарт нийт 200м.кв,
ҮНЭ: 1мкв- 6,500,000₮
ХАЯГ: БЗД 26-р хороо, Баянмонгол хорооллын замын урд талд",N/A,200 м² м²,Бартераар зарах боломжтой,Ашиглалтад орсон,47.903294 106.948778
1,4,https://www.unegui.mn/adv/9460560_offisyn-zoriulalttai-ul-khodlokh-khorongo-khudaldana/,Жигүүр гранд оффист 248 мкв талбай,"УБ — Сүхбаатар, Сүхбаатар, Хороо 2",Нийтэлсэн: 2025-06-18 17:38,9460560,"1.55 Тэрбум ₮
үнэ тохирно","Жигүүр Гранд оффист 248м² оффис давхараар нь худалдана
📍 Улаанбаатар хотын А зэрэглэлийн бүсэд, Нарны зам дагуу, 31-р сургуулийн урд, Урбанек-ийн зүүн талд, Платиниум Тауэрын баруун талд байрлах
🏢 Жигүүр Гранд оффист хойд хэсгийн 9 давхар барилгын 8-р давхрын бүтэн оффис талбай (248м²)-г бүхэлд нь худалдана.
⸻
Үндсэн мэдээлэл:
• 📐 Нийт талбай: 248м²
үнэ : 1 тэрбум 550 саяас.
• 🗓️ Ашиглалтад орсон он: 2011 он
• 🌆 Байрлал: Хотын төвд, гол зам дагуу, үйлчилгээний төвүүдтэй ойр
• 🧱 Барилгын чанар: Өндөр түвшний хийцтэй, өвөлдөө дулаахан, зундаа цонх олон зүг рүү харсан тул агаар сэлгэлт сайн
• 🅿️ Хаалттай зогсоолтой, харуул хамгаалалт сайтай
⸻
Оффисын зохион байгуулалт:
• 🛋️ Нийт 4 өрөө:
– 🏛️ Том заал
– 👔 Захирлын өрөө (дотроо хувийн 00, душ, агуулахтай)
– 👥 Ажилчдын өрөө
– 🧑‍💼 Хурлын өрөө
• 🍽️ Гал тогооны хэсэг (оффисын ажилчдад зориулсан)
• 🚻 Зочдод зориулсан тусдаа 00-ийн өрөөтэй
⸻
Давуу талууд:
• ⭐ Хотын төвд — үнэ цэн өндөр байрлал
• 🚏 Төв зам дагуу, автобусны буудал урд талдаа
• 🛍️ Сургууль, худалдааны төв, оффисуудтай ойр
• 💼 Хөрөнгө оруулалт болон бизнес эрхлэхэд бэлэн орчин
⸻
Үзэх болон дэлгэрэнгүй мэдээлэл авахыг хүсвэл
дугаараар холбогдоно уу.",N/A,248 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.911645 106.910584
1,5,https://www.unegui.mn/adv/9291999_iaarmag-sydney-tower-d-offisyn-talbai-khudaldana/,Яармаг sydney tower.д оффисын талбай 88мкв,"УБ — Хан-Уул, Яармаг",Нийтэлсэн: 2025-06-18 15:52,9291999,"4.5 сая ₮
үнэ тохирно","Хан-уул дүүрэг, Яармаг Encanto Оргил-н зүүн талд шинээр ашиглалтанд орсон Sydney tower -д оффиссын талбай худалдана.
-Үнэ мкв: 4,500,000₮
- 87.61мкв
-Гэрчилгээ бэлэн
- 3-р давхарт
- Бүрэн засалтай
-Хөрөнгийн менежмент сайтай
-Давхаруудад ажилчидын цайны өрөөтэй
Байрлал: ХУД, 7-р хороо, Яармаг Encanto Oргил-н зүүн талд",N/A,88 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.872371 106.814446
1,6,https://www.unegui.mn/adv/9299916_tasgan-tovert-offis-khudaldana/,Тасган товерт оффис 74мк талбай,"УБ — Чингэлтэй, Баянбүрдийн тойрог",Нийтэлсэн: 2025-06-18 09:12,9299916,482.04 сая ₮,"Хувь лизинг хийх боломжтой
Бизнес эрхлэгчид болон. хөрөнгө оруулагч нарын анхааралд..
Баян бүрдийн тойрогийн баруун урд талд “Тасган товер” оффист жижиг талбайтай оффис-ыг 50% урьдчилгаа төлөөд хувь лизинг хийх боломжтой. Хугацаа 1 жил
74.16мкв = 482,040,000₮ / 50%=241,020,00₮
талбайтай оффис-ыг худалдана
~ 13 давхарт
~ Төв зам руу харсан харууцтай
~ Дотроо АЦ өрөөтэй
~ Гал тогооны хэсэг шийдсэн
Төлбөрийн нөхцөл: Урьдчилгаа төлөөд хувь лизинг хийх боломжтой.
60% -н гэрчилгээ гарсан байгаа.",N/A,74 м²,Хувь лизингээр авах боломжтой,Ашиглалтад орсон,47.9278806292485 106.90571821241
1,7,https://www.unegui.mn/adv/9451753_tasgan-taurt-39-14mkv-offis-talbai-khudaldana/,Тасган таурт 39.14мкв оффис талбай,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Нийтэлсэн: 2025-06-18 06:18,9451753,254.41 сая ₮,"Тасган таурт 39.14мкв оффис талбай худалдана.
Гэрчилгээ бэлэн банкаар авах боломжтой",N/A,39 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.92397 106.902687
1,8,https://www.unegui.mn/adv/9457746_khan-uul-i-martyn-urd-offis/,Хан-уул и-мартын урд оффис,"УБ — Хан-Уул, Хан-Уул, Хороо 17",Нийтэлсэн: 2025-06-17 22:27,9457746,7.3 сая ₮,"Хан-Уул E-mart худалдааны төвийн урд төв зам дагуу UNIQ CENTER -т 65м2 оффисын талбай худалдана.
Үнэ: м2-7.300.000 сая
65м2 - 474.500.000
-4 давхарт
-Зүүн харсан цонхтой
-2 орц гарцтай
-Төв зам дагуу",N/A,65 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.8927222013864 106.923521825545
1,9,https://www.unegui.mn/adv/9455848_talbain-baruun-tald-davkhar-bukhleeree-offis-210mkv-khudaldana/,Талбайн баруун талд давхар бүхлээрээ оффис 210мкв,"УБ — Сүхбаатар, Сүхбаатарын талбай",Нийтэлсэн: 2025-06-17 14:14,9455848,"1.4 Тэрбум ₮
үнэ тохирно","Төв талбайн баруун талд Төв шуудангийн ард давхар бүхэлдээ 210мкв талбайтай оффис худалдана
- 50% бэлэн +50% бартер, хувь лизинг сонсоно",N/A,210 м²,Бартераар зарах боломжтой,Ашиглалтад орсон,47.9188290307491 106.917622814522
1,10,https://www.unegui.mn/adv/9432720_tasgan-taurt-zakh-zeeliin-unees-dooguur-uneer-33-44m-kv-offisyn-talbai/,Тасган таурт оффисын 33.44 мкв талбай,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Нийтэлсэн: 2025-06-17 12:31,9432720,"175 сая ₮
193.95 сая ₮","𝗙𝗢𝗥 𝗦𝗔𝗟𝗘
Чингэлтэй дүүрэг 𝟱-𝗽 𝘅𝗼𝗽𝗼𝗼, Улаанбаатар хотын төв цэгээс 𝟮км зайд байрлах, төв зам дагуу, 𝟭𝟬𝟬% бүрэн цутгамал хийцлэлтэй, 𝟮.𝟴 м өндөр таазтай, нийт 𝟰𝟬𝟬 оффис үйлчилгээ цогцолсон 𝗧𝗔𝗦𝗚𝗔𝗡 𝗧𝗢𝗪𝗘𝗥-ын 𝟰 давхарт 𝟯𝟯.𝟰𝟰𝗺² талбайг худалдана.
▪️Нийт 𝟭𝟳 давхар оффис, үйлчилгээний төв
▪️Нэг давхрын нийт талбай| 𝟭𝟯𝟲𝟰𝗺²
▪️Өрөөндөө гал тогооны хэсэг болон ариун цэврийн өрөөтэй
▪️𝗕𝟯-𝟰 давхар хүртэл нийт 𝟳 давхар 𝟮𝟴𝟬 машины дулаан зогсоолтой, гадна талдаа 𝟴𝟬-𝟭𝟬𝟬 машины зогсоолтой.
▪️Талбай нэмэх боломжтой.",N/A,34 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.92397 106.902687
