page_number,ad_number,url,title,location,date,id,price,ad_text,phone,Талбай:,Төлбөрийн нөхцөл:,Барилгын явц:,clean_coords
1,1,https://www.unegui.mn/adv/9441359_tst-bilding-55-mkv-dotroo-ariun-tsevriin-oroo-gal-togoo-tavilgatai-offis-talbai/,Тст билдинг 55 мк оффис,"УБ — Баянгол, Нарны хороолол",Нийтэлсэн: Өнөөдөр 14:58,9441359,"385 сая ₮
үнэ тохирно",Нарны хорооллын зүүн урд байрлалтай төв зам дагуу ТСТ БИЛДИНГ 55 мкв баруун харсан том цонхтой дотроо ариун цэврийн өрөө гал тогооны болон бүрэн тавилгатай оффис талбай яаралтай зарна. Бэлэн мөнгөнд сайн ярилцана авто машин оролцуулах боломжтой,N/A,55 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.90771 106.899413
1,2,https://www.unegui.mn/adv/9215856_khotyn-tovd-city-tower-t-offis-zarna/,Хотын төв city tower-т оффис 211.69мк талбай,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Нийтэлсэн: Өнөөдөр 09:31,9215856,"7.5 сая ₮
үнэ тохирно","Хотын төвд City Tower-т 211.69 мк.в оффис зарна. Дахин хуваалт хийх, өрөөний зохион байгуулалт өөрчлөх боломжтой 3 том заал, 1 амралтын өрөө, 2 нойлын өрөөтэй. Гэрчилгээ бэлэн. Шаардлага хангасан тохиолдолд банкны зээлээр шийдэж өгөх боломжтой.Орон сууц бартердах боломжтой.",N/A,212 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.912432 106.921754
1,3,https://www.unegui.mn/adv/9287296_tengis-kino-teatryn-urd-mn-tower-t-60mkv-offis-talbai-khudaldana/,Тэнгис кино театрын урд mn tower-т оффис 60 мкв талбай,"УБ — Чингэлтэй, Тэнгис кино театр",Нийтэлсэн: Өчигдөр 16:51,9287296,450 сая ₮,"Тэнгис кино театрын урд MN tower-ийн 11-н давхарт 60мкв оффис талбай худалдана
Мкв-7.500.000
бартер сонсохгүй
Гэрчилгээ бэлэн",N/A,60 м² м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.9229357794646 106.904755282749
1,4,https://www.unegui.mn/adv/9470123_sbd-8-r-khoroo-river-castle-business-residence-d-offis-uilchilgeenii-talbai/,"Сбд 8-р хороо river castle business residence-д оффис, үйлчилгээний талбай","УБ — Баянзүрх, Баянзүрх, Хороо 8",Нийтэлсэн: 2025-06-21 15:47,9470123,"835 сая ₮
үнэ тохирно","СБД 8-р хороо River castle business residence-д оффис, үйлчилгээний талбайнууд худалдана.
📍Байршил: СБД, 8-р хороо Sansar Garden, Чингис хаан зочид буудлын баруун талд, Сэлбэ гол дагуу
🛑 Б блок 2024 оны 12-р сард ашиглалтанд орсон оффисын талбай. /гэрчилгээ гарсан/
✅ Хэмжээ: 144 м.кв | 5 давхарт |
💰 Нийт Үнэ: 835,000,000
💰 М.кв үнэ: 5,800,000₮
✅ Төлбөрийн нөхцөл:
✔️ Бэлэн болон банкны зээлээр худалдан авах боломжтой
✔️ 30% Бартер сонсоно
✔️ Банкны зээл ажлын 3 хоногт шийдэж өгөх боломжтой
✅ Нэмэлт мэдээлэл
📌 Төмөр бетон цутгамал карказ
📌 3.4 м өндөр таазтай
📌 1-4 давхарт бүх төрлийн үйлчилгээ
📌 5-6 давхартаа оффисын талбай /Тусдаа лифттэй/
📌 Сэлбэ гол руу харсан цэлгэр том цонхтой
📌 Төвийн шугамд бүрэн холбогдсон;
📌 Хотын төвд байршил сайтай",N/A,144 м²,Бартераар зарах боломжтой,Ашиглалтад ороогүй,47.916943 106.994914
1,5,https://www.unegui.mn/adv/9406676_offis-khudaldana/,СБД 1р хороо оффис,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Нийтэлсэн: 2025-06-19 23:10,9406676,"7.5 сая ₮
үнэ тохирно","Байршил: Хотын төв Энхтайвангийн гүүрний баруун талд Зам тээврийн яам хойно байрлалтай ""GEREGE TOWE-т 261мкв талбай худалдана.",N/A,261 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.912432 106.921754
1,6,https://www.unegui.mn/adv/9172012_paradise-plaza-offis-uilchilgeenii-talbai/,Paradise plaza оффис үйлчилгээний талбай,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Нийтэлсэн: 2025-06-19 17:40,9172012,"6.3 сая ₮
7 сая ₮","БЗД 26-р хороо [#PARADISE_PLAZA]оффис үйлчилгээний зориулалттай талбай худалдана.
8 давхарт нийт 200м.кв,
ҮНЭ: 1мкв- 6,500,000₮
ХАЯГ: БЗД 26-р хороо, Баянмонгол хорооллын замын урд талд",N/A,200 м² м²,Бартераар зарах боломжтой,Ашиглалтад орсон,47.903294 106.948778
1,7,https://www.unegui.mn/adv/9460560_offisyn-zoriulalttai-ul-khodlokh-khorongo-khudaldana/,Жигүүр гранд оффист 248 мкв талбай,"УБ — Сүхбаатар, Сүхбаатар, Хороо 2",Нийтэлсэн: 2025-06-18 17:38,9460560,"1.55 Тэрбум ₮
үнэ тохирно","Жигүүр Гранд оффист 248м² оффис давхараар нь худалдана
📍 Улаанбаатар хотын А зэрэглэлийн бүсэд, Нарны зам дагуу, 31-р сургуулийн урд, Урбанек-ийн зүүн талд, Платиниум Тауэрын баруун талд байрлах
🏢 Жигүүр Гранд оффист хойд хэсгийн 9 давхар барилгын 8-р давхрын бүтэн оффис талбай (248м²)-г бүхэлд нь худалдана.
⸻
Үндсэн мэдээлэл:
• 📐 Нийт талбай: 248м²
үнэ : 1 тэрбум 550 саяас.
• 🗓️ Ашиглалтад орсон он: 2011 он
• 🌆 Байрлал: Хотын төвд, гол зам дагуу, үйлчилгээний төвүүдтэй ойр
• 🧱 Барилгын чанар: Өндөр түвшний хийцтэй, өвөлдөө дулаахан, зундаа цонх олон зүг рүү харсан тул агаар сэлгэлт сайн
• 🅿️ Хаалттай зогсоолтой, харуул хамгаалалт сайтай
⸻
Оффисын зохион байгуулалт:
• 🛋️ Нийт 4 өрөө:
– 🏛️ Том заал
– 👔 Захирлын өрөө (дотроо хувийн 00, душ, агуулахтай)
– 👥 Ажилчдын өрөө
– 🧑‍💼 Хурлын өрөө
• 🍽️ Гал тогооны хэсэг (оффисын ажилчдад зориулсан)
• 🚻 Зочдод зориулсан тусдаа 00-ийн өрөөтэй
⸻
Давуу талууд:
• ⭐ Хотын төвд — үнэ цэн өндөр байрлал
• 🚏 Төв зам дагуу, автобусны буудал урд талдаа
• 🛍️ Сургууль, худалдааны төв, оффисуудтай ойр
• 💼 Хөрөнгө оруулалт болон бизнес эрхлэхэд бэлэн орчин
⸻
Үзэх болон дэлгэрэнгүй мэдээлэл авахыг хүсвэл
дугаараар холбогдоно уу.",N/A,248 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.911645 106.910584
1,8,https://www.unegui.mn/adv/9299916_tasgan-tovert-offis-khudaldana/,Тасган товерт оффис 74мк талбай,"УБ — Чингэлтэй, Баянбүрдийн тойрог",Нийтэлсэн: 2025-06-18 09:12,9299916,482.04 сая ₮,"Хувь лизинг хийх боломжтой
Бизнес эрхлэгчид болон. хөрөнгө оруулагч нарын анхааралд..
Баян бүрдийн тойрогийн баруун урд талд “Тасган товер” оффист жижиг талбайтай оффис-ыг 50% урьдчилгаа төлөөд хувь лизинг хийх боломжтой. Хугацаа 1 жил
74.16мкв = 482,040,000₮ / 50%=241,020,00₮
талбайтай оффис-ыг худалдана
~ 13 давхарт
~ Төв зам руу харсан харууцтай
~ Дотроо АЦ өрөөтэй
~ Гал тогооны хэсэг шийдсэн
Төлбөрийн нөхцөл: Урьдчилгаа төлөөд хувь лизинг хийх боломжтой.
60% -н гэрчилгээ гарсан байгаа.",N/A,74 м²,Хувь лизингээр авах боломжтой,Ашиглалтад орсон,47.9278806292485 106.90571821241
1,9,https://www.unegui.mn/adv/9210383_misheel-siti-m3-tauer/,Мишээл сити м3 тауэр оффис,"УБ — Хан-Уул, Мишээл",Нийтэлсэн: 2025-06-16 17:48,9210383,"6.6 сая ₮
үнэ тохирно","- Мишээл ситид оффис худалдана
- М3 блокт бизнес чиглэлээр үйл ажиллагаа явуулах боломжтой.
-Хамгийн урд талын блок
- Зүүн харсан цонхтой
- Дотор заслаа өөрийн хүссэнээрээ хийх боломжтой
- 20 давхарын 4 давхарт
- Хүсвэл 2 хувааж авах боломжтой
- Нар сайн тусдаг, дулаахан
- Харууц сайтай
- Бүх зүйлдээ ойрхон
- Байрлал сайтай
- Шилэн фасадтай, бүрэн цутгамал
- Гоё талбайгаа худалдана аа",N/A,175 м² м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.891921 106.887409
1,10,https://www.unegui.mn/adv/9479238_misheeliin-zalgaa-m3-palas-uilchilgeenii-talbai-khudaldana/,Мишээлийн залгаа м3 - палас оффис талбай,"УБ — Хан-Уул, Хан-Уул, Хороо 20",Нийтэлсэн: Өнөөдөр 15:02,9479238,"8.8 сая ₮
үнэ тохирно",Мишээл тавилгын их дэлгүүр залгаа барилга М3 т оффисс талбай худалдана,N/A,106 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.8919232454507 106.887139941548
1,11,https://www.unegui.mn/adv/9447502_baruun-4-zamyn-gem-palace-d-63m2-talbai/,Баруун 4 замын gem palace-д 63м2 талбай,"УБ — Баянгол, Баруун 4 зам",Нийтэлсэн: Өнөөдөр 14:53,9447502,570 сая ₮,"Баруун 4 замын Gem palace-д 63,1м2 оффис болон үйлчилгээний зориулалттай талбай худалдана.
- Харууц сайтай
- Өндөр давхарт",N/A,63 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.916677 106.897889
1,12,https://www.unegui.mn/adv/9216881_misheel-siti-m1-t-offis-zarna/,Мишээл сити м1-т оффис,"УБ — Хан-Уул, Хан-Уул, Хороо 2",Нийтэлсэн: Өнөөдөр 13:49,9216881,"7.5 сая ₮
8 сая ₮","Ашиглалтанд орсон засвар хийсэн 106.53м2 оффис болон бусад зориулалтаар ашиглаж болохоор талбай худалдана. Бартер сонсоно. харууц маш гоё, 17 давхарт",N/A,106 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.893878 106.887541
