ad_id,district,khoroo,mylocation,office_name,price,area,price_m2,progress_cons,title,ad_text,clean_coords,url,date,time
9299916,Чингэлтэй,,Баянбүрд,Tasgan tower,482.04,74,6.51,Ашиглалтад орсон,Тасган товерт оффис 74мк талбай,"Хувь лизинг хийх боломжтой
Бизнес эрхлэгчид болон. хөрөнгө оруулагч нарын анхааралд..
Баян бүрдийн тойрогийн баруун урд талд “Тасган товер” оффист жижиг талбайтай оффис-ыг 50% урьдчилгаа төлөөд хувь лизинг хийх боломжтой. Хугацаа 1 жил
74.16мкв = 482,040,000₮ / 50%=241,020,00₮
талбайтай оффис-ыг худалдана
~ 13 давхарт
~ Төв зам руу харсан харууцтай
~ Дотроо АЦ өрөөтэй
~ Гал тогооны хэсэг шийдсэн
Төлбөрийн нөхцөл: Урьдчилгаа төлөөд хувь лизинг хийх боломжтой.
60% -н гэрчилгээ гарсан байгаа.",47.9278806292485 106.90571821241,https://www.unegui.mn/adv/9299916_tasgan-tovert-offis-khudaldana/,6/20/2025,9:12
9451753,Чингэлтэй,5,5-р сургууль,Tasgan tower,254.41,39,6.52,Ашиглалтад орсон,Тасган таурт 39.14мкв оффис талбай,"Тасган таурт 39.14мкв оффис талбай худалдана.
Гэрчилгээ бэлэн банкаар авах боломжтой",47.92397 106.902687,https://www.unegui.mn/adv/9451753_tasgan-taurt-39-14mkv-offis-talbai-khudaldana/,6/20/2025,6:18
9457746,Хан-Уул,17,Зайсан хойно,Uniq center,474.5,65,7.3,Ашиглалтад орсон,Хан-уул и-мартын урд оффис,"Хан-Уул E-mart худалдааны төвийн урд төв зам дагуу UNIQ CENTER -т 65м2 оффисын талбай худалдана.
Үнэ: м2-7.300.000 сая
65м2 - 474.500.000
-4 давхарт
-Зүүн харсан цонхтой
-2 орц гарцтай
-Төв зам дагуу",47.8927222013864 106.923521825545,https://www.unegui.mn/adv/9457746_khan-uul-i-martyn-urd-offis/,6/19/2025,22:27
9455848,Сүхбаатар,,Талбай,,1400,210,6.67,Ашиглалтад орсон,Талбайн баруун талд давхар бүхлээрээ оффис 210мкв,"Төв талбайн баруун талд Төв шуудангийн ард давхар бүхэлдээ 210мкв талбайтай оффис худалдана
- 50% бэлэн +50% бартер, хувь лизинг сонсоно",47.9188290307491 106.917622814522,https://www.unegui.mn/adv/9455848_talbain-baruun-tald-davkhar-bukhleeree-offis-210mkv-khudaldana/,6/19/2025,14:14
9432720,Чингэлтэй,5,5-р сургууль,Tasgan tower,175,34,5.15,Ашиглалтад орсон,Тасган таурт оффисын 33.44 мкв талбай,"𝗙𝗢𝗥 𝗦𝗔𝗟𝗘
Чингэлтэй дүүрэг 𝟱-𝗽 𝘅𝗼𝗽𝗼𝗼, Улаанбаатар хотын төв цэгээс 𝟮км зайд байрлах, төв зам дагуу, 𝟭𝟬𝟬% бүрэн цутгамал хийцлэлтэй, 𝟮.𝟴 м өндөр таазтай, нийт 𝟰𝟬𝟬 оффис үйлчилгээ цогцолсон 𝗧𝗔𝗦𝗚𝗔𝗡 𝗧𝗢𝗪𝗘𝗥-ын 𝟰 давхарт 𝟯𝟯.𝟰𝟰𝗺² талбайг худалдана.
▪️Нийт 𝟭𝟳 давхар оффис, үйлчилгээний төв
▪️Нэг давхрын нийт талбай| 𝟭𝟯𝟲𝟰𝗺²
▪️Өрөөндөө гал тогооны хэсэг болон ариун цэврийн өрөөтэй
▪️𝗕𝟯-𝟰 давхар хүртэл нийт 𝟳 давхар 𝟮𝟴𝟬 машины дулаан зогсоолтой, гадна талдаа 𝟴𝟬-𝟭𝟬𝟬 машины зогсоолтой.
▪️Талбай нэмэх боломжтой.",47.92397 106.902687,https://www.unegui.mn/adv/9432720_tasgan-taurt-zakh-zeeliin-unees-dooguur-uneer-33-44m-kv-offisyn-talbai/,6/19/2025,12:31
9454979,Чингэлтэй,1,Тэнгис,,650,100,6.5,Ашиглалтад орсон,Төв шуудангийн хойно гаднаасаа хаалгатай 100 мкв оффис талбай,"📍 ЧД, Төв шуудангийн хойно 100 мкв оффис талбай худалдана
Үнэ: 1 мкв ~ 6,500,000 ₮ / нийт 650сая ₮
- 2 давхарт
- Баруун харсан цонхтой
- Гэрчилгээ бэлэн
- хувааж авах боломжтой
- Бусдаас хамааралгүй гаднаасаа шууд ордог хаалгатай
- 30 хувьд нь хүүтэй хувь лизинг, бартер оролцуулах боломжтой",47.911627 106.922441,https://www.unegui.mn/adv/9454979_tov-shuudangiin-khoino-gadnaasaa-khaalgatai-100-mkv-offis-talbai/,6/19/2025,10:57
9454959,Чингэлтэй,1,Тэнгис,,520,80,6.5,Ашиглалтад орсон,Талбайн баруун талд 80 мкв оффис талбай,"📍 ЧД, Төв шуудангийн хойно 80 мкв оффис талбай худалдана
Үнэ: 1 мкв ~ 6,500,000 ₮ / нийт 520сая ₮
- 2 давхарт
- Зүүн харсан цонхтой
- Гэрчилгээ бэлэн
- талбай нэмж авах боломжтой
- Бусдаас хамааралгүй гаднаасаа шууд ордог хаалгатай
- 30 хувьд нь хүүтэй хувь лизинг, бартер оролцуулах боломжтой",47.911627 106.922441,https://www.unegui.mn/adv/9454959_talbain-baruun-tald-80-mkv-offis-talbai/,6/19/2025,10:53
9454946,Чингэлтэй,1,Тэнгис,,1170,180,6.5,Ашиглалтад орсон,Төв шуудангийн хойно 180 мкв оффис,"📍 ЧД, Төв шуудангийн хойно 180 мкв оффис талбай худалдана
Үнэ: 1 мкв ~ 6,500,000 ₮ / нийт 1,170,000,000 ₮
- 2 давхарт
- Баруун, зүүн харсан цонхтой
- Гэрчилгээ бэлэн
- Хувааж авах боломжтой
- Бусдаас хамааралгүй гаднаасаа шууд ордог хаалгатай
- 30 хувьд нь хүүтэй хувь лизинг, бартер оролцуулах боломжтой",47.911627 106.922441,https://www.unegui.mn/adv/9454946_tov-shuudangiin-khoino-180-mkv-offis/,6/19/2025,10:50
9215856,Сүхбаатар,1,Талбай,City tower,1611.2,212,7.6,Ашиглалтад орсон,Хотын төвд city tower-т 211.69 мк.в оффис,"Хотын төвд City Tower-т 211.69 мк.в оффис зарна.Дахин хуваалт хийх, өрөөний зохион байгуулалт өөрчлөх боломжтой 3 том заал, 1 амралтын өрөө, 2 нойлын өрөөтэй.Гэрчилгээ бэлэн.Шаардлага хангасан тохиолдолд банкны зээлээр шийдэж өгөх боломжтой.Орон сууц бартердах боломжтой.",47.912432 106.921754,https://www.unegui.mn/adv/9215856_khotyn-tovd-city-tower-t-offis-zarna/,6/19/2025,8:46
9210383,Хан-Уул,,Мишээл,Misheel city ,1155,175,6.6,Ашиглалтад орсон,Мишээл сити м3 тауэр оффис,"- Мишээл ситид оффис худалдана
- М3 блокт бизнес чиглэлээр үйл ажиллагаа явуулах боломжтой.
-Хамгийн урд талын блок
- Зүүн харсан цонхтой
- Дотор заслаа өөрийн хүссэнээрээ хийх боломжтой
- 20 давхарын 4 давхарт
- Хүсвэл 2 хувааж авах боломжтой
- Нар сайн тусдаг, дулаахан
- Харууц сайтай
- Бүх зүйлдээ ойрхон
- Байрлал сайтай
- Шилэн фасадтай, бүрэн цутгамал
- Гоё талбайгаа худалдана аа",47.891921 106.887409,https://www.unegui.mn/adv/9210383_misheel-siti-m3-tauer/,6/16/2025,17:48
