№,district,khoroo,number,zip code,Хаяг нэгтгэсэн,office_name,Бүтээц,floor,op_date,Гудамжны нэр,Координат,Үнэлгээ
1.0,СБД,1,59,14250.0,,Эко интернэйшнл тауэр,Төмөр бетон арагт,,2023,Энх тайвaны өргөн чөлөө,"47.916518, 106.914441",
2.0,СБД,1,,14251.0,,MCS plaza,Төмөр бетон арагт,5.0,,,"47.914835, 106.913159",
3.0,СБД,1,6/1,14251.0,,Сity plaza,Төмөр бетон арагт,6.0,2006,Сөүлийн гудамж,"47.914915, 106.911975",
4.0,СБД,1,6/2,14251.0,,Od plaza,Төмөр бетон арагт,5.0,2006,Сөүлийн гудамж,"47.914979, 106.912389",
5.0,СБД,1,21,14251.0,,Newcom group,Төмөр бетон арагт,10.0,2006,Сөүлийн гудамж,"47.914723, 106.911557",
6.0,СБД,1,7,14251.0,,Soyombo tower,Төмөр бетон арагт,33.0,2018,Сөүлийн гудамж,"47.914116, 106.913642",11.082727272727272
7.0,СБД,1,8,14251.0,,Mongol Tv,Төмөр бетон арагт,14.0,2013,Чингисийн өргөн чөлөө,"47.914261, 106.914935",
8.0,СБД,1,10Б,14251.0,,Business tower,Төмөр бетон арагт,22.0,2017,Чингисийн өргөн чөлөө,"47.914151, 106.914524",8.424
9.0,СБД,1,13,14251.0,,,Төмөр бетон арагт,5.0,-,Чингисийн өргөн чөлөө,"47.911411, 106.913928",
10.0,СБД,1,,14251.0,,New century plaza,Төмөр бетон арагт,6.0,-,,"47.911139, 106.913951",
11.0,СБД,1,17,14251.0,,Gerege tower,Төмөр бетон арагт,15.0,2014,Чингисийн өргөн чөлөө,"47.910641, 106.912706",7.5825
12.0,СБД,1,24,14241.0,,Park place,Төмөр бетон арагт,13.0,2016,Чингисийн өргөн чөлөө,"47.910159, 106.914898",13.0
13.0,СБД,1,19,14240.0,,Central park,Төмөр бетон арагт,16.0,2019,Чингисийн өргөн чөлөө,"47.913420, 106.915540",
14.0,СБД,1,16,0.0,,Mn central office,Төмөр бетон арагт,13.0,2014,П.Гэндэнгийн гудамж,"47.913315, 106.918374",
15.0,СБД,1,8/1,14240.0,,Гурван гал,Төмөр бетон арагт,7.0,2006,Чингисийн өргөн чөлөө,"47.914011, 106.916107",
16.0,СБД,1,15,14240.0,,Monnis tower,Төмөр бетон арагт,15.0,2009,Чингисийн өргөн чөлөө,"47.914294, 106.916028",
17.0,СБД,1,17,14240.0,,Гурван гол,Төмөр бетон арагт,6.0,2004,Чингисийн өргөн чөлөө,"47.914367, 106.916675",
18.0,СБД,1,17,,,Blue sky tower,Төмөр бетон арагт,24.0,2008,Чингисийн өргөн чөлөө,"47.916327, 106.918731",
19.0,СБД,1,18/1,14240.0,,The Down Town,Төмөр бетон арагт,14.0,2016,Жамъяан гүний гудамж,"47.915685, 106.918670",
