url,title,location,date,ad_id,price_total,ad_text,size,progress_cons,clean_coords,area,price,p_int,a_int,price_m2,p2_int,mylocation
https://www.unegui.mn/adv/9299916_tasgan-tovert-offis-khudaldana/,Тасган товерт оффис 74мк талбай,"УБ — Чингэлтэй, Баянбүрдийн тойрог",Нийтэлсэн: Өнөөдөр 09:12,9299916,482.04 сая ₮,"Хувь лизинг хийх боломжтой
Бизнес эрхлэгчид болон. хөрөнгө оруулагч нарын анхааралд..
Баян бүрдийн тойрогийн баруун урд талд “Тасган товер” оффист жижиг талбайтай оффис-ыг 50% урьдчилгаа төлөөд хувь лизинг хийх боломжтой. Хугацаа 1 жил
74.16мкв = 482,040,000₮ / 50%=241,020,00₮
талбайтай оффис-ыг худалдана
~ 13 давхарт
~ Төв зам руу харсан харууцтай
~ Дотроо АЦ өрөөтэй
~ Гал тогооны хэсэг шийдсэн
Төлбөрийн нөхцөл: Урьдчилгаа төлөөд хувь лизинг хийх боломжтой.
60% -н гэрчилгээ гарсан байгаа.",74 м²,Ашиглалтад орсон,47.9278806292485 106.90571821241,74.0,482.04,"(300.0, 500.0]","(50.0, 100.0]",6.514054054054054,"(5.0, 10.0]",Баянбүрд
https://www.unegui.mn/adv/9451753_tasgan-taurt-39-14mkv-offis-talbai-khudaldana/,Тасган таурт 39.14мкв оффис талбай,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Нийтэлсэн: Өнөөдөр 06:18,9451753,254.41 сая ₮,"Тасган таурт 39.14мкв оффис талбай худалдана.
Гэрчилгээ бэлэн банкаар авах боломжтой",39 м²,Ашиглалтад орсон,47.92397 106.902687,39.0,254.41,"(200.0, 300.0]","(20.0, 50.0]",6.523333333333333,"(5.0, 10.0]",5-р сургууль
https://www.unegui.mn/adv/9457746_khan-uul-i-martyn-urd-offis/,Хан-уул и-мартын урд оффис,"УБ — Хан-Уул, Хан-Уул, Хороо 17",Нийтэлсэн: Өчигдөр 22:27,9457746,7.3 сая ₮,"Хан-Уул E-mart худалдааны төвийн урд төв зам дагуу UNIQ CENTER -т 65м2 оффисын талбай худалдана.
Үнэ: м2-7.300.000 сая
65м2 - 474.500.000
-4 давхарт
-Зүүн харсан цонхтой
-2 орц гарцтай
-Төв зам дагуу",65 м²,Ашиглалтад орсон,47.8927222013864 106.923521825545,65.0,7.3,"(-inf, 15.0]","(50.0, 100.0]",7.3,"(5.0, 10.0]",Зайсан хойно
https://www.unegui.mn/adv/9455848_talbain-baruun-tald-davkhar-bukhleeree-offis-210mkv-khudaldana/,Талбайн баруун талд давхар бүхлээрээ оффис 210мкв,"УБ — Сүхбаатар, Сүхбаатарын талбай",Нийтэлсэн: Өчигдөр 14:14,9455848,"1.4 Тэрбум ₮
үнэ тохирно","Төв талбайн баруун талд Төв шуудангийн ард давхар бүхэлдээ 210мкв талбайтай оффис худалдана
- 50% бэлэн +50% бартер, хувь лизинг сонсоно",210 м²,Ашиглалтад орсон,47.9188290307491 106.917622814522,210.0,1400.0,"(1000.0, 5000.0]","(100.0, 400.0]",6.666666666666667,"(5.0, 10.0]",Талбай
https://www.unegui.mn/adv/9432720_tasgan-taurt-zakh-zeeliin-unees-dooguur-uneer-33-44m-kv-offisyn-talbai/,Тасган таурт оффисын 33.44 мкв талбай,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Нийтэлсэн: Өчигдөр 12:31,9432720,"175 сая ₮
193.95 сая ₮","𝗙𝗢𝗥 𝗦𝗔𝗟𝗘
Чингэлтэй дүүрэг 𝟱-𝗽 𝘅𝗼𝗽𝗼𝗼, Улаанбаатар хотын төв цэгээс 𝟮км зайд байрлах, төв зам дагуу, 𝟭𝟬𝟬% бүрэн цутгамал хийцлэлтэй, 𝟮.𝟴 м өндөр таазтай, нийт 𝟰𝟬𝟬 оффис үйлчилгээ цогцолсон 𝗧𝗔𝗦𝗚𝗔𝗡 𝗧𝗢𝗪𝗘𝗥-ын 𝟰 давхарт 𝟯𝟯.𝟰𝟰𝗺² талбайг худалдана.
▪️Нийт 𝟭𝟳 давхар оффис, үйлчилгээний төв
▪️Нэг давхрын нийт талбай| 𝟭𝟯𝟲𝟰𝗺²
▪️Өрөөндөө гал тогооны хэсэг болон ариун цэврийн өрөөтэй
▪️𝗕𝟯-𝟰 давхар хүртэл нийт 𝟳 давхар 𝟮𝟴𝟬 машины дулаан зогсоолтой, гадна талдаа 𝟴𝟬-𝟭𝟬𝟬 машины зогсоолтой.
▪️Талбай нэмэх боломжтой.",34 м²,Ашиглалтад орсон,47.92397 106.902687,34.0,175.0,"(100.0, 200.0]","(20.0, 50.0]",5.147058823529412,"(5.0, 10.0]",5-р сургууль
https://www.unegui.mn/adv/9454979_tov-shuudangiin-khoino-gadnaasaa-khaalgatai-100-mkv-offis-talbai/,Төв шуудангийн хойно гаднаасаа хаалгатай 100 мкв оффис талбай,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1",Нийтэлсэн: Өчигдөр 10:57,9454979,650 сая ₮,"📍 ЧД, Төв шуудангийн хойно 100 мкв оффис талбай худалдана
Үнэ: 1 мкв ~ 6,500,000 ₮ / нийт 650сая ₮
- 2 давхарт
- Баруун харсан цонхтой
- Гэрчилгээ бэлэн
- хувааж авах боломжтой
- Бусдаас хамааралгүй гаднаасаа шууд ордог хаалгатай
- 30 хувьд нь хүүтэй хувь лизинг, бартер оролцуулах боломжтой",100 м² м²,Ашиглалтад орсон,47.911627 106.922441,100.0,650.0,"(500.0, 1000.0]","(50.0, 100.0]",6.5,"(5.0, 10.0]",Тэнгис
https://www.unegui.mn/adv/9454959_talbain-baruun-tald-80-mkv-offis-talbai/,Талбайн баруун талд 80 мкв оффис талбай,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1",Нийтэлсэн: Өчигдөр 10:53,9454959,520 сая ₮,"📍 ЧД, Төв шуудангийн хойно 80 мкв оффис талбай худалдана
Үнэ: 1 мкв ~ 6,500,000 ₮ / нийт 520сая ₮
- 2 давхарт
- Зүүн харсан цонхтой
- Гэрчилгээ бэлэн
- талбай нэмж авах боломжтой
- Бусдаас хамааралгүй гаднаасаа шууд ордог хаалгатай
- 30 хувьд нь хүүтэй хувь лизинг, бартер оролцуулах боломжтой",80 м² м²,Ашиглалтад орсон,47.911627 106.922441,80.0,520.0,"(500.0, 1000.0]","(50.0, 100.0]",6.5,"(5.0, 10.0]",Тэнгис
https://www.unegui.mn/adv/9454946_tov-shuudangiin-khoino-180-mkv-offis/,Төв шуудангийн хойно 180 мкв оффис,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1",Нийтэлсэн: Өчигдөр 10:50,9454946,1.17 Тэрбум ₮,"📍 ЧД, Төв шуудангийн хойно 180 мкв оффис талбай худалдана
Үнэ: 1 мкв ~ 6,500,000 ₮ / нийт 1,170,000,000 ₮
- 2 давхарт
- Баруун, зүүн харсан цонхтой
- Гэрчилгээ бэлэн
- Хувааж авах боломжтой
- Бусдаас хамааралгүй гаднаасаа шууд ордог хаалгатай
- 30 хувьд нь хүүтэй хувь лизинг, бартер оролцуулах боломжтой",180 м²,Ашиглалтад орсон,47.911627 106.922441,180.0,1170.0,"(1000.0, 5000.0]","(100.0, 400.0]",6.5,"(5.0, 10.0]",Тэнгис
https://www.unegui.mn/adv/9215856_khotyn-tovd-city-tower-t-offis-zarna/,Хотын төвд city tower-т 211.69 мк.в оффис,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Нийтэлсэн: Өчигдөр 08:46,9215856,"7.6 сая ₮
үнэ тохирно","Хотын төвд City Tower-т 211.69 мк.в оффис зарна.Дахин хуваалт хийх, өрөөний зохион байгуулалт өөрчлөх боломжтой 3 том заал, 1 амралтын өрөө, 2 нойлын өрөөтэй.Гэрчилгээ бэлэн.Шаардлага хангасан тохиолдолд банкны зээлээр шийдэж өгөх боломжтой.Орон сууц бартердах боломжтой.",212 м²,Ашиглалтад орсон,47.912432 106.921754,212.0,7.6,"(-inf, 15.0]","(100.0, 400.0]",7.6,"(5.0, 10.0]",Талбай
https://www.unegui.mn/adv/9210383_misheel-siti-m3-tauer/,Мишээл сити м3 тауэр оффис,"УБ — Хан-Уул, Мишээл",Нийтэлсэн: 2025-06-16 17:48,9210383,"6.6 сая ₮
үнэ тохирно","- Мишээл ситид оффис худалдана
- М3 блокт бизнес чиглэлээр үйл ажиллагаа явуулах боломжтой.
-Хамгийн урд талын блок
- Зүүн харсан цонхтой
- Дотор заслаа өөрийн хүссэнээрээ хийх боломжтой
- 20 давхарын 4 давхарт
- Хүсвэл 2 хувааж авах боломжтой
- Нар сайн тусдаг, дулаахан
- Харууц сайтай
- Бүх зүйлдээ ойрхон
- Байрлал сайтай
- Шилэн фасадтай, бүрэн цутгамал
- Гоё талбайгаа худалдана аа",175 м² м²,Ашиглалтад орсон,47.891921 106.887409,175.0,6.6,"(-inf, 15.0]","(100.0, 400.0]",6.6,"(5.0, 10.0]",Мишээл
