page_number,ad_number,url,title,location,date,id,price,ad_text,phone,Талбай:,Төлбөрийн нөхцөл:,Барилгын явц:,clean_coords
1,1,https://www.unegui.mn/adv/9299916_tasgan-tovert-offis-khudaldana/,Тасган товерт оффис 74мк талбай,"УБ — Чингэлтэй, Баянбүрдийн тойрог",Нийтэлсэн: Өнөөдөр 09:12,9299916,482.04 сая ₮,"Хувь лизинг хийх боломжтой
Бизнес эрхлэгчид болон. хөрөнгө оруулагч нарын анхааралд..
Баян бүрдийн тойрогийн баруун урд талд “Тасган товер” оффист жижиг талбайтай оффис-ыг 50% урьдчилгаа төлөөд хувь лизинг хийх боломжтой. Хугацаа 1 жил
74.16мкв = 482,040,000₮ / 50%=241,020,00₮
талбайтай оффис-ыг худалдана
~ 13 давхарт
~ Төв зам руу харсан харууцтай
~ Дотроо АЦ өрөөтэй
~ Гал тогооны хэсэг шийдсэн
Төлбөрийн нөхцөл: Урьдчилгаа төлөөд хувь лизинг хийх боломжтой.
60% -н гэрчилгээ гарсан байгаа.",N/A,74 м²,Хувь лизингээр авах боломжтой,Ашиглалтад орсон,47.9278806292485 106.90571821241
1,2,https://www.unegui.mn/adv/9451753_tasgan-taurt-39-14mkv-offis-talbai-khudaldana/,Тасган таурт 39.14мкв оффис талбай,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Нийтэлсэн: Өнөөдөр 06:18,9451753,254.41 сая ₮,"Тасган таурт 39.14мкв оффис талбай худалдана.
Гэрчилгээ бэлэн банкаар авах боломжтой",N/A,39 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.92397 106.902687
1,3,https://www.unegui.mn/adv/9457746_khan-uul-i-martyn-urd-offis/,Хан-уул и-мартын урд оффис,"УБ — Хан-Уул, Хан-Уул, Хороо 17",Нийтэлсэн: Өчигдөр 22:27,9457746,7.3 сая ₮,"Хан-Уул E-mart худалдааны төвийн урд төв зам дагуу UNIQ CENTER -т 65м2 оффисын талбай худалдана.
Үнэ: м2-7.300.000 сая
65м2 - 474.500.000
-4 давхарт
-Зүүн харсан цонхтой
-2 орц гарцтай
-Төв зам дагуу",N/A,65 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.8927222013864 106.923521825545
1,4,https://www.unegui.mn/adv/9455848_talbain-baruun-tald-davkhar-bukhleeree-offis-210mkv-khudaldana/,Талбайн баруун талд давхар бүхлээрээ оффис 210мкв,"УБ — Сүхбаатар, Сүхбаатарын талбай",Нийтэлсэн: Өчигдөр 14:14,9455848,"1.4 Тэрбум ₮
үнэ тохирно","Төв талбайн баруун талд Төв шуудангийн ард давхар бүхэлдээ 210мкв талбайтай оффис худалдана
- 50% бэлэн +50% бартер, хувь лизинг сонсоно",N/A,210 м²,Бартераар зарах боломжтой,Ашиглалтад орсон,47.9188290307491 106.917622814522
2,1,https://www.unegui.mn/adv/9255551_baruun-4-zam-grand-plaza-khazhuud-burd-tov-deeguur-davkhart-267mkv-offis-khudaldana/?p=2,Баруун 4 зам гранд плаза хажууд бүрд төв дээгүүр давхарт 267мкв оффис,"УБ — Баянгол, Богд-Ар",Нийтэлсэн: Өнөөдөр 10:31,9255551,1.2 Тэрбум ₮,"Төлбөрийн нөхцөл: Банкны зээлээр авах боломжтой
Талбай: 267
Барилгын явц: Ашиглалтад орсон
Баруун 4 замд байршил сайтай харууц сайтай дээгүүр давхарын 276м2 оффис талбай яаралтай худалдана.",N/A,267 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.886943 106.905618
2,2,https://www.unegui.mn/adv/9096642_grand-plazad-offisyn-talbai-khudaldana/?p=2,Гранд плазад оффисын талбай,"УБ — Баянгол, Баруун 4 зам",Нийтэлсэн: Өнөөдөр 10:16,9096642,1.38 Тэрбум ₮,"ГРАНД ПЛАЗА-д оффис талбай зарна.
✔️242.1 м2 
✔️Гэрчилгээ бэлэн
✔️Урагшаа баруун зүүн хариуцтай
Хотын төвд оффис талбай худалдана",N/A,242 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.916677 106.897889
2,3,https://www.unegui.mn/adv/9257685_sbd-1-r-khoroo-gerege-476-6m2-offis-talbai-khudaldana/?p=2,"Сбд 1-р хороо, гэрэгэ 476.6м2 оффис талбай","УБ — Сүхбаатар, Наран плаза",Нийтэлсэн: Өнөөдөр 10:04,9257685,"3.6 Тэрбум ₮
үнэ тохирно","🌱СБД 1-р хороо, Гэрэгэ оффис талбай худалдана.
✅ Нийт 476,7мкв / бүтэн давхараараа /
✅ Нийт 6 өрөө 1 том заалтай.
✅ 2 Ариун цэврийн өрөөтэй.
✅ 1 Цайны өрөөтэй.
Үнэ: 3.6",N/A,476 м²,Бартераар зарах боломжтой,Ашиглалтад орсон,47.90967514 106.9131535
2,4,https://www.unegui.mn/adv/8863019_tsirkiin-baruun-tald-khuuchny-3-oroo-tureeslene/?p=2,Дүнжингарав захын урд 3 өрөө оффис 184мк талбай,"УБ — Баянзүрх, Үндэсний цэцэрлэгт хүрээлэн",Нийтэлсэн: Өнөөдөр 09:44,8863019,1 Тэрбум ₮,"✅Үндэсний цэцэрлэгт хүрээлэнгийн хажууд 184мкв 3 өрөө худалдана
✅Зүүн урагшаа баруун харсан цэлгэр том цонхтой
✅ Хотыг болон байгалийг бүхэлдэн харах МАШ гоё харууцтай
✅Дээр нь нэмээд 22мкв террас болон 1-г машины дулаан зогсоол Bonus болгож дагалдуулж өгч байна
✅ Террас нь дээрээ cocktail , мини баар хийх боломжтой
✅Гэрчилгээ бэлэн банкаар, бэлэнээр авах боломжтой
✅Бэлэн төлөлтөнд Үнэ буух боломжтой",N/A,184 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.9022915552129 106.939075813941
3,1,https://www.unegui.mn/adv/9231821_offiss-uilchilgeenii-talbai-khudaldana/?p=3,Оффис үйлчилгээний талбай 67мкв,"УБ — Баянзүрх, Сансар",Нийтэлсэн: Өчигдөр 13:16,9231821,220 сая ₮,"📍ОФФИСС ҮЙЛЧИЛГЭЭНИЙ ТАЛБАЙ ХУДАЛДАНА
▶️БЗД 2- р хороо КТМС зүүн талд Цагдаа хотхоны урд Зам дагуу
▶️67 м2
▶️гаднаа авто машины зогсоолтой
▶️5/3 давхар дотроо ариун цэврийн өрөөтэй
▶️2017 онд баригдсан ообьектын 3 давхарт ▶️гэрчилгээ бэлэн
📍Үнэ: 220 сая",N/A,67 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.922859 106.940931
3,2,https://www.unegui.mn/adv/9085757_khotyn-aaa-bus-tov-shuudangiin-khoino-bairlaltai/?p=3,Хотын ааа бүс төв шуудангийн хойно байрлалтай,"УБ — Сүхбаатар, 220 мянгат",Нийтэлсэн: Өчигдөр 13:15,9085757,"3.6 Тэрбум ₮
үнэ тохирно","Хотын ааа бүс төв шуудангийн хойно байрлалтай оффис талбай худалдана.
✅️ 554.95м² | 15/9 давхарт
✅️ 4 зүгт харсан харууцтай
үнэ: 1м² нь 6.6 сая₮",N/A,555 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.914758 106.910243
