ad_id,date,title,ad_text,district,khoroo,mylocation,price,area,price_m2,url,clean_coords,location,progress_cons,mytitle
9299916,Нийтэлсэн: Өнөөдөр 09:12,Тасган товерт оффис 74мк талбай,"Хувь лизинг хийх боломжтой
Бизнес эрхлэгчид болон. хөрөнгө оруулагч нарын анхааралд..
Баян бүрдийн тойрогийн баруун урд талд “Тасган товер” оффист жижиг талбайтай оффис-ыг 50% урьдчилгаа төлөөд хувь лизинг хийх боломжтой. Хугацаа 1 жил
74.16мкв = 482,040,000₮ / 50%=241,020,00₮
талбайтай оффис-ыг худалдана
~ 13 давхарт
~ Төв зам руу харсан харууцтай
~ Дотроо АЦ өрөөтэй
~ Гал тогооны хэсэг шийдсэн
Төлбөрийн нөхцөл: Урьдчилгаа төлөөд хувь лизинг хийх боломжтой.
60% -н гэрчилгээ гарсан байгаа.",Чингэлтэй,,Баянбүрд,482.04,74,6.514054054,https://www.unegui.mn/adv/9299916_tasgan-tovert-offis-khudaldana/,47.9278806292485 106.90571821241,"УБ — Чингэлтэй, Баянбүрдийн тойрог",Ашиглалтад орсон,
9451753,Нийтэлсэн: Өнөөдөр 06:18,Тасган таурт 39.14мкв оффис талбай,"Тасган таурт 39.14мкв оффис талбай худалдана.
Гэрчилгээ бэлэн банкаар авах боломжтой",Чингэлтэй,5,5-р сургууль,254.41,39,6.523333333,https://www.unegui.mn/adv/9451753_tasgan-taurt-39-14mkv-offis-talbai-khudaldana/,47.92397 106.902687,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Ашиглалтад орсон,
9457746,Нийтэлсэн: Өчигдөр 22:27,Хан-уул и-мартын урд оффис,"Хан-Уул E-mart худалдааны төвийн урд төв зам дагуу UNIQ CENTER -т 65м2 оффисын талбай худалдана.
Үнэ: м2-7.300.000 сая
65м2 - 474.500.000
-4 давхарт
-Зүүн харсан цонхтой
-2 орц гарцтай
-Төв зам дагуу",Хан-Уул,17,Зайсан хойно,7.3,65,7.3,https://www.unegui.mn/adv/9457746_khan-uul-i-martyn-urd-offis/,47.8927222013864 106.923521825545,"УБ — Хан-Уул, Хан-Уул, Хороо 17",Ашиглалтад орсон,
9455848,Нийтэлсэн: Өчигдөр 14:14,Талбайн баруун талд давхар бүхлээрээ оффис 210мкв,"Төв талбайн баруун талд Төв шуудангийн ард давхар бүхэлдээ 210мкв талбайтай оффис худалдана
- 50% бэлэн +50% бартер, хувь лизинг сонсоно",Сүхбаатар,,Талбай,1400,210,6.666666667,https://www.unegui.mn/adv/9455848_talbain-baruun-tald-davkhar-bukhleeree-offis-210mkv-khudaldana/,47.9188290307491 106.917622814522,"УБ — Сүхбаатар, Сүхбаатарын талбай",Ашиглалтад орсон,
9432720,Нийтэлсэн: Өчигдөр 12:31,Тасган таурт оффисын 33.44 мкв талбай,"𝗙𝗢𝗥 𝗦𝗔𝗟𝗘
Чингэлтэй дүүрэг 𝟱-𝗽 𝘅𝗼𝗽𝗼𝗼, Улаанбаатар хотын төв цэгээс 𝟮км зайд байрлах, төв зам дагуу, 𝟭𝟬𝟬% бүрэн цутгамал хийцлэлтэй, 𝟮.𝟴 м өндөр таазтай, нийт 𝟰𝟬𝟬 оффис үйлчилгээ цогцолсон 𝗧𝗔𝗦𝗚𝗔𝗡 𝗧𝗢𝗪𝗘𝗥-ын 𝟰 давхарт 𝟯𝟯.𝟰𝟰𝗺² талбайг худалдана.
▪️Нийт 𝟭𝟳 давхар оффис, үйлчилгээний төв
▪️Нэг давхрын нийт талбай| 𝟭𝟯𝟲𝟰𝗺²
▪️Өрөөндөө гал тогооны хэсэг болон ариун цэврийн өрөөтэй
▪️𝗕𝟯-𝟰 давхар хүртэл нийт 𝟳 давхар 𝟮𝟴𝟬 машины дулаан зогсоолтой, гадна талдаа 𝟴𝟬-𝟭𝟬𝟬 машины зогсоолтой.
▪️Талбай нэмэх боломжтой.",Чингэлтэй,5,5-р сургууль,175,34,5.147058824,https://www.unegui.mn/adv/9432720_tasgan-taurt-zakh-zeeliin-unees-dooguur-uneer-33-44m-kv-offisyn-talbai/,47.92397 106.902687,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Ашиглалтад орсон,
9454979,Нийтэлсэн: Өчигдөр 10:57,Төв шуудангийн хойно гаднаасаа хаалгатай 100 мкв оффис талбай,"📍 ЧД, Төв шуудангийн хойно 100 мкв оффис талбай худалдана
Үнэ: 1 мкв ~ 6,500,000 ₮ / нийт 650сая ₮
- 2 давхарт
- Баруун харсан цонхтой
- Гэрчилгээ бэлэн
- хувааж авах боломжтой
- Бусдаас хамааралгүй гаднаасаа шууд ордог хаалгатай
- 30 хувьд нь хүүтэй хувь лизинг, бартер оролцуулах боломжтой",Чингэлтэй,1,Тэнгис,650,100,6.5,https://www.unegui.mn/adv/9454979_tov-shuudangiin-khoino-gadnaasaa-khaalgatai-100-mkv-offis-talbai/,47.911627 106.922441,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1",Ашиглалтад орсон,
9454959,Нийтэлсэн: Өчигдөр 10:53,Талбайн баруун талд 80 мкв оффис талбай,"📍 ЧД, Төв шуудангийн хойно 80 мкв оффис талбай худалдана
Үнэ: 1 мкв ~ 6,500,000 ₮ / нийт 520сая ₮
- 2 давхарт
- Зүүн харсан цонхтой
- Гэрчилгээ бэлэн
- талбай нэмж авах боломжтой
- Бусдаас хамааралгүй гаднаасаа шууд ордог хаалгатай
- 30 хувьд нь хүүтэй хувь лизинг, бартер оролцуулах боломжтой",Чингэлтэй,1,Тэнгис,520,80,6.5,https://www.unegui.mn/adv/9454959_talbain-baruun-tald-80-mkv-offis-talbai/,47.911627 106.922441,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1",Ашиглалтад орсон,
9454946,Нийтэлсэн: Өчигдөр 10:50,Төв шуудангийн хойно 180 мкв оффис,"📍 ЧД, Төв шуудангийн хойно 180 мкв оффис талбай худалдана
Үнэ: 1 мкв ~ 6,500,000 ₮ / нийт 1,170,000,000 ₮
- 2 давхарт
- Баруун, зүүн харсан цонхтой
- Гэрчилгээ бэлэн
- Хувааж авах боломжтой
- Бусдаас хамааралгүй гаднаасаа шууд ордог хаалгатай
- 30 хувьд нь хүүтэй хувь лизинг, бартер оролцуулах боломжтой",Чингэлтэй,1,Тэнгис,1170,180,6.5,https://www.unegui.mn/adv/9454946_tov-shuudangiin-khoino-180-mkv-offis/,47.911627 106.922441,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1",Ашиглалтад орсон,
9215856,Нийтэлсэн: Өчигдөр 08:46,Хотын төвд city tower-т 211.69 мк.в оффис,"Хотын төвд City Tower-т 211.69 мк.в оффис зарна.Дахин хуваалт хийх, өрөөний зохион байгуулалт өөрчлөх боломжтой 3 том заал, 1 амралтын өрөө, 2 нойлын өрөөтэй.Гэрчилгээ бэлэн.Шаардлага хангасан тохиолдолд банкны зээлээр шийдэж өгөх боломжтой.Орон сууц бартердах боломжтой.",Сүхбаатар,1,Талбай,7.6,212,7.6,https://www.unegui.mn/adv/9215856_khotyn-tovd-city-tower-t-offis-zarna/,47.912432 106.921754,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Ашиглалтад орсон,City tower
9210383,Нийтэлсэн: 2025-06-16 17:48,Мишээл сити м3 тауэр оффис,"- Мишээл ситид оффис худалдана
- М3 блокт бизнес чиглэлээр үйл ажиллагаа явуулах боломжтой.
-Хамгийн урд талын блок
- Зүүн харсан цонхтой
- Дотор заслаа өөрийн хүссэнээрээ хийх боломжтой
- 20 давхарын 4 давхарт
- Хүсвэл 2 хувааж авах боломжтой
- Нар сайн тусдаг, дулаахан
- Харууц сайтай
- Бүх зүйлдээ ойрхон
- Байрлал сайтай
- Шилэн фасадтай, бүрэн цутгамал
- Гоё талбайгаа худалдана аа",Хан-Уул,,Мишээл,6.6,175,6.6,https://www.unegui.mn/adv/9210383_misheel-siti-m3-tauer/,47.891921 106.887409,"УБ — Хан-Уул, Мишээл",Ашиглалтад орсон,
