№,ad_id,mytitle,district,khoroo,mylocation,price,area,price_m2,progress_cons,clean_coords,url
1,9299916,Tasgan tower,Чингэлтэй,,Баянбүрд,482.04,74,6.51,Ашиглалтад орсон,47.9278806292485 106.90571821241,https://www.unegui.mn/adv/9299916_tasgan-tovert-offis-khudaldana/
2,9451753,Tasgan tower,Чингэлтэй,5,5-р сургууль,254.41,39,6.52,Ашиглалтад орсон,47.92397 106.902687,https://www.unegui.mn/adv/9451753_tasgan-taurt-39-14mkv-offis-talbai-khudaldana/
3,9457746,Uniq center,Хан-Уул,17,Зайсан хойно,7.3,65,7.30,Ашиглалтад орсон,47.8927222013864 106.923521825545,https://www.unegui.mn/adv/9457746_khan-uul-i-martyn-urd-offis/
4,9344603,,Сүхбаатар,1,Талбай,3200,320,10.00,Ашиглалтад орсон,47.9188290307491 106.917622814522,https://www.unegui.mn/adv/9455848_talbain-baruun-tald-davkhar-bukhleeree-offis-210mkv-khudaldana/
5,9432720,Tasgan tower,Чингэлтэй,5,5-р сургууль,175,34,5.15,Ашиглалтад орсон,47.92397 106.902687,https://www.unegui.mn/adv/9432720_tasgan-taurt-zakh-zeeliin-unees-dooguur-uneer-33-44m-kv-offisyn-talbai/
6,9454979,,Чингэлтэй,1,Тэнгис,650,100,6.50,Ашиглалтад орсон,47.911627 106.922441,https://www.unegui.mn/adv/9454979_tov-shuudangiin-khoino-gadnaasaa-khaalgatai-100-mkv-offis-talbai/
7,9454959,,Чингэлтэй,1,Тэнгис,520,80,6.50,Ашиглалтад орсон,47.911627 106.922441,https://www.unegui.mn/adv/9454959_talbain-baruun-tald-80-mkv-offis-talbai/
8,9454946,,Чингэлтэй,1,Тэнгис,1170,180,6.50,Ашиглалтад орсон,47.911627 106.922441,https://www.unegui.mn/adv/9454946_tov-shuudangiin-khoino-180-mkv-offis/
9,9318230,Union Building,Сүхбаатар,1,Талбай,924,220,4.20,Ашиглалтад орсон,47.931917 106.912458,https://www.unegui.mn/adv/9437925_sbd-dolgoon-nuurt-khoimor-offisd-offis-khudaldna/
10,9210383,Misheel city ,Хан-Уул,,Мишээл,6.6,175,6.60,Ашиглалтад орсон,47.891921 106.887409,https://www.unegui.mn/adv/9210383_misheel-siti-m3-tauer/
11,9437091,GEM PALACE,Баянгол,,Баруун 4 зам,570,63,9.05,Ашиглалтад орсон,47.916677 106.897889,https://www.unegui.mn/adv/9437091_baruun-4-zam-zhem-palast-63mkv-offis/
12,9416469,,Баянзүрх,2,КТМС,365,81,4.51,Ашиглалтад орсон,47.935624 106.939012,https://www.unegui.mn/adv/9416469_offis-zarna/
13,9450490,Himchan center,Баянзүрх,26,Цэцэрлэгт хүрээлэн,487,67,7.27,Ашиглалтад орсон,47.903294 106.948778,https://www.unegui.mn/adv/9450490_himchan-center-offis-uilchilgeenii-zoriulalttai-talbai/
14,9450279,Misheel city ,Хан-Уул,,Мишээл,6.5,106,6.50,Ашиглалтад орсон,47.891921 106.887409,https://www.unegui.mn/adv/9450279_misheel-siti-106m2-offis-khudaldana/
15,9447086,,Чингэлтэй,,Баянбүрд,210,50,4.20,Ашиглалтад орсон,47.928945 106.906205,https://www.unegui.mn/adv/9447086_baianburd-logos-tovd-50-44-mvk/
16,9443778,,Баянзүрх,26,Цэцэрлэгт хүрээлэн,4.5,48,4.50,Ашиглалтад орсон,47.903294 106.948778,https://www.unegui.mn/adv/9443778_studiin-zoriulalttai-talbai-zarna/
17,9381076,,Чингэлтэй,2,"40, 50 мянгат",850,130,6.54,Ашиглалтад орсон,47.917773 106.898907,https://www.unegui.mn/adv/9381076_bairlal-saitai-offis-uilchilgeenii-talbai-khudaldana/
18,9442977,Grand office,Баянгол,,Баруун 4 зам,5.5,118,5.50,Ашиглалтад орсон,47.916677 106.897889,https://www.unegui.mn/adv/9442977_baruun-4-zam-grand-plaza-d-offis-talbai-khudaldana/
19,9275237,,Сүхбаатар,1,Талбай,520,75,6.93,Ашиглалтад орсон,47.924962 106.927646,https://www.unegui.mn/adv/8734441_office-khudaldana/
20,9402438,Гэгээнтэн office center,Хан-Уул,,120 мянгат,9,137,9.00,Ашиглалтад орсон,47.901399 106.910038,https://www.unegui.mn/adv/9402438_gegeenten-tsogtsolbor-offis-137-28-m2/
