location,mylocation
"Архангай, Архангай",Архангай
"Дархан-Уул, Дархан-Уул",Дархан-Уул
"Дорноговь, Дорноговь",Дорноговь
"Дорнод, Дорнод",Дорнод аймаг
"Дорнод, Дорнод",Дорнод
Орхон,Орхон аймаг
"Орхон, Орхон",Орхон аймаг
"Өвөрхангай, Өвөрхангай",Өвөрхангай аймаг
"Өмнөговь, Өмнөговь",Өмнөговь аймаг
Сүхбаатар,Сүхбаатар аймаг
Сүхбаатар,Сүхбаатар аймаг
"Сүхбаатар, Сүхбаатар",Сүхбаатар аймаг
"Сэлэнгэ, Сэлэнгэ",Сэлэнгэ
Төв,Төв аймаг
Төв,Төв
"Төв, Төв",Төв аймаг
"УБ — Багануур, Багануур, Хороо 1",Багануур
УБ — Баянгол,Баянгол
"УБ — Баянгол, 10-р хороолол",10-р хороолол
"УБ — Баянгол, 25-р эмийн сан",25-р эмийн сан
"УБ — Баянгол, 3, 4 хороолол","3, 4 хороолол"
"УБ — Баянгол, 3-р хороолол","3, 4 хороолол"
"УБ — Баянгол, 40-р сургууль","3, 4 хороолол"
"УБ — Баянгол, 4-р хороолол","3, 4 хороолол"
"УБ — Баянгол, 6-р бичил",6-р бичил
"УБ — Баянгол, Алтай хотхон",Алтай хотхон
"УБ — Баянгол, Баруун 4 зам",Баруун 4 зам
"УБ — Баянгол, Баянгол, Хороо 1",Модны 2
"УБ — Баянгол, Баянгол, Хороо 10",Модны 2
"УБ — Баянгол, Баянгол, Хороо 11",Модны 2
"УБ — Баянгол, Баянгол, Хороо 12","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 13","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 14",Модны 2
"УБ — Баянгол, Баянгол, Хороо 15",Эх нялхас
"УБ — Баянгол, Баянгол, Хороо 16",Эх нялхас
"УБ — Баянгол, Баянгол, Хороо 17",Модны 2
"УБ — Баянгол, Баянгол, Хороо 18",Модны 2
"УБ — Баянгол, Баянгол, Хороо 19",Модны 2
"УБ — Баянгол, Баянгол, Хороо 2",Модны 2
"УБ — Баянгол, Баянгол, Хороо 20",Хархорин
"УБ — Баянгол, Баянгол, Хороо 21","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 22","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 23",Модны 2
"УБ — Баянгол, Баянгол, Хороо 3",Нарны хороолол
"УБ — Баянгол, Баянгол, Хороо 4","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 5","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 6","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 7","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 8","3, 4 хороолол"
"УБ — Баянгол, Баянгол, Хороо 9",Хорооллын эцэс
"УБ — Баянгол, Бичил",Бичил
"УБ — Баянгол, Богд-Ар",Төмөр зам
"УБ — Баянгол, Гандан",Гандан
"УБ — Баянгол, Гэмтэл согог судлалын үндэсний төв",Гэмтэл
"УБ — Баянгол, Модны 2",Модны 2
"УБ — Баянгол, Монгени цогцолбор",Модны 2
"УБ — Баянгол, Нарны хороолол",Нарны хороолол
"УБ — Баянгол, Оюуны Ундраа цогцолбор сургууль",Модны 2
"УБ — Баянгол, Өргөө - 1 кино театр","3, 4 хороолол"
"УБ — Баянгол, Төмөр зам",Төмөр зам
